UserPrincipalName,Skills,Certifications,Location
travis@trlingen.tk,"DevOps,IT Management,Web Application Developer","Microsoft Certified Professional,Microsoft Certified Solutions Developer","Austin, TX"
LeeG@trlingen.tk,"Technical Writing,Questionnaire Design",Society for Technical Communicators,"Overland Park, KS"
PattiF@trlingen.tk,"Business Continuity Management,Executive Leadership",,"Louisville, KY"
PradeepG@trlingen.onmicrosoft.com,"Accounting and Financials,Corporate Reporting",Certified Financial Analyst,"Cairo, "
DiegoS@trlingen.onmicrosoft.com,"Recruiting,Corporate Communications,Benefit Management,Notary Public",,"Birmingham, AL"
MeganB@trlingen.onmicrosoft.com,"Corporate Communications,Social Media,Search Engine Optimization,Sales and Marketing",,"Pittsburgh, PA"
JoniS@trlingen.onmicrosoft.com,"Corporate Reporting,Corporate Compliance,Legal Research",Certified Financial Analyst,"Charlotte, NC"
LynneR@trlingen.tk,Sales and Marketing,,"Tulsa, OK"
GradyA@trlingen.onmicrosoft.com,"Graphic Design,Web Application Development",Microsoft Certified Professional,"Bloomington, IL"
HenriettaM@trlingen.onmicrosoft.com,"Web Application Development,DevOps",Microsoft Certified Solutions Developer,"Fort Lauderdale, FL"
AlexW@trlingen.tk,"Social Media,Sales and Marketing",,"San Diego, CA"
AdeleV@trlingen.tk,Retail Store Layout,,"Bellevue, WA"
LidiaH@trlingen.onmicrosoft.com,"Research and Design,Program Management",,"Tulsa, OK"
JohannaL@trlingen.onmicrosoft.com,Research and Design,,"Louisville, KY"
IsaiahL@trlingen.onmicrosoft.com,Sales and Marketing,,"Tulsa, OK"
NestorW@trlingen.onmicrosoft.com,Business Continuity Management,,"Seattle, WA"
MiriamG@trlingen.onmicrosoft.com,"Business Development,Social Media",American Management Association Certificate,"San Diego, CA"
morichar@trlingen.onmicrosoft.com,,,
Demo-Flow-UserAccount@trlingen.tk,,,
it_support@trlingen.tk,,,
